img,h_mm,w_mm,area (pixels)
2high_exsertion_low_seed_set/110.tif,9.789473684,2.526315789,4770
2high_exsertion_low_seed_set/116.tif,6.842105263,2,2793
2high_exsertion_low_seed_set/95.tif,7.473684211,1.473684211,2295
2high_exsertion_low_seed_set/115.tif,6.631578947,2.210526316,3097
2high_exsertion_low_seed_set/61.tif,10.842105263,3.894736842,8253
2high_exsertion_low_seed_set/18.tif,9.894736842,3.052631579,6015
2high_exsertion_low_seed_set/34.tif,9.578947368,1.894736842,3759
2high_exsertion_low_seed_set/41.tif,10.947368421,3.684210526,7539
2high_exsertion_low_seed_set/99.tif,9.052631579,3.052631579,4698
2high_exsertion_low_seed_set/19.tif,8.842105263,2.105263158,3771
2high_exsertion_low_seed_set/47.tif,11.052631579,2.631578947,5694
2high_exsertion_low_seed_set/63.tif,11.789473684,3.894736842,8400
2high_exsertion_low_seed_set/132.tif,9.157894737,3.684210526,5844
2high_exsertion_low_seed_set/93.tif,10.315789474,4.315789474,8043
2high_exsertion_low_seed_set/127.tif,9.368421053,3.052631579,6102
2high_exsertion_low_seed_set/36.tif,10.736842105,4.736842105,8844
2high_exsertion_low_seed_set/60.tif,11.263157895,3.368421053,8139
2high_exsertion_low_seed_set/16.tif,10.210526316,3.368421053,6552
2high_exsertion_low_seed_set/29.tif,10.210526316,4,7917
2high_exsertion_low_seed_set/76.tif,9.684210526,4,7233
2high_exsertion_low_seed_set/15.tif,11.473684211,2,4722
2high_exsertion_low_seed_set/2.tif,10.210526316,3.473684211,7173
2high_exsertion_low_seed_set/43.tif,9.894736842,3.157894737,6459
2high_exsertion_low_seed_set/121.tif,6.526315789,1.684210526,2067
2high_exsertion_low_seed_set/112.tif,10.736842105,4,7575
2high_exsertion_low_seed_set/143.tif,10.421052632,3.052631579,6168
2high_exsertion_low_seed_set/120.tif,6.736842105,3.157894737,4098
2high_exsertion_low_seed_set/25.tif,9.789473684,3.368421053,6780
2high_exsertion_low_seed_set/71.tif,9.789473684,3.052631579,6237
2high_exsertion_low_seed_set/135.tif,9.263157895,4.315789474,6738
2high_exsertion_low_seed_set/111.tif,9.894736842,4.105263158,7263
2high_exsertion_low_seed_set/13.tif,10.526315789,3.157894737,6714
2high_exsertion_low_seed_set/78.tif,12.105263158,3.157894737,7473
2high_exsertion_low_seed_set/49.tif,10.736842105,3.473684211,7941
2high_exsertion_low_seed_set/88.tif,11.368421053,2.947368421,6844
2high_exsertion_low_seed_set/137.tif,8.947368421,3.789473684,6603
2high_exsertion_low_seed_set/144.tif,10.421052632,3.263157895,6442
2high_exsertion_low_seed_set/12.tif,10.842105263,3.473684211,7134
2high_exsertion_low_seed_set/50.tif,8.736842105,1.684210526,3126
2high_exsertion_low_seed_set/103.tif,8.315789474,1.894736842,2967
2high_exsertion_low_seed_set/130.tif,10.315789474,4.210526316,7602
2high_exsertion_low_seed_set/77.tif,6.947368421,2.421052632,2943
2high_exsertion_low_seed_set/67.tif,9.052631579,2.736842105,5181
2high_exsertion_low_seed_set/73.tif,11.473684211,2.315789474,5376
2high_exsertion_low_seed_set/79.tif,10.631578947,3.263157895,6111
2high_exsertion_low_seed_set/114.tif,10,4.947368421,7845
2high_exsertion_low_seed_set/140.tif,7.263157895,2.736842105,3582
2high_exsertion_low_seed_set/42.tif,9.368421053,2.421052632,4284
2high_exsertion_low_seed_set/101.tif,9.368421053,4.210526316,6516
2high_exsertion_low_seed_set/89.tif,10.842105263,2.315789474,4870
2high_exsertion_low_seed_set/107.tif,10.842105263,2.631578947,5372
2high_exsertion_low_seed_set/3.tif,10.736842105,2.631578947,6324
2high_exsertion_low_seed_set/51.tif,10.631578947,3.789473684,7650
2high_exsertion_low_seed_set/55.tif,10.105263158,2.315789474,4398
2high_exsertion_low_seed_set/104.tif,9.157894737,2.631578947,4386
2high_exsertion_low_seed_set/14.tif,10.947368421,3.263157895,7776
2high_exsertion_low_seed_set/122.tif,10.631578947,4.947368421,8751
2high_exsertion_low_seed_set/75.tif,10,4,6087
2high_exsertion_low_seed_set/83.tif,10.315789474,4.421052632,7830
2high_exsertion_low_seed_set/133.tif,10.842105263,4,7407
2high_exsertion_low_seed_set/84.tif,8.315789474,3.368421053,4629
2high_exsertion_low_seed_set/109.tif,8.105263158,4,5322
2high_exsertion_low_seed_set/26.tif,9.578947368,3.684210526,6768
2high_exsertion_low_seed_set/118.tif,10.210526316,3.473684211,6186
2high_exsertion_low_seed_set/57.tif,9.684210526,5.157894737,7638
2high_exsertion_low_seed_set/38.tif,10.526315789,3.473684211,7440
2high_exsertion_low_seed_set/90.tif,9.578947368,4,6093
2high_exsertion_low_seed_set/6.tif,9.263157895,3.894736842,6918
2high_exsertion_low_seed_set/1.tif,9.894736842,2.947368421,5481
2high_exsertion_low_seed_set/102.tif,9.263157895,2.842105263,5163
2high_exsertion_low_seed_set/54.tif,8.842105263,4.421052632,6672
2high_exsertion_low_seed_set/81.tif,10.526315789,3.894736842,7160
2high_exsertion_low_seed_set/58.tif,10.315789474,3.473684211,6726
2high_exsertion_low_seed_set/27.tif,10.210526316,3.684210526,8106
2high_exsertion_low_seed_set/21.tif,9.684210526,2.210526316,3948
2high_exsertion_low_seed_set/136.tif,10.105263158,4.421052632,7845
2high_exsertion_low_seed_set/141.tif,12.105263158,3.578947368,7992
2high_exsertion_low_seed_set/142.tif,9.157894737,2.947368421,5253
2high_exsertion_low_seed_set/9.tif,10.947368421,3.052631579,6618
2high_exsertion_low_seed_set/33.tif,11.052631579,4.105263158,7893
2high_exsertion_low_seed_set/108.tif,10.105263158,4.105263158,7407
2high_exsertion_low_seed_set/129.tif,9.368421053,3.368421053,5517
2high_exsertion_low_seed_set/87.tif,10.736842105,3.263157895,6568
2high_exsertion_low_seed_set/82.tif,10.315789474,4.421052632,8397
2high_exsertion_low_seed_set/5.tif,10.105263158,3.578947368,7311
2high_exsertion_low_seed_set/35.tif,10.947368421,3.894736842,8583
2high_exsertion_low_seed_set/32.tif,10.210526316,2.947368421,6330
2high_exsertion_low_seed_set/96.tif,10.210526316,2.210526316,4518
2high_exsertion_low_seed_set/124.tif,10.842105263,4,7623
2high_exsertion_low_seed_set/85.tif,9.157894737,2.421052632,4290
2high_exsertion_low_seed_set/65.tif,11.894736842,3.789473684,9455
