img,folder,ratio,h,w,h_cm,w_cm,area,mode,gmean,std
../images/mask_set/2high_exsertion_low_seed_set/110.tif,2high_exsertion_low_seed_set,0.2580645161,93,24,0.9789473684,0.2526315789,4770,30,45.53,26.8701802954
../images/mask_set/2high_exsertion_low_seed_set/116.tif,2high_exsertion_low_seed_set,0.2923076923,65,19,0.6842105263,0.2,2793,28,41.53,24.7874212821
../images/mask_set/2high_exsertion_low_seed_set/95.tif,2high_exsertion_low_seed_set,0.1971830986,71,14,0.7473684211,0.1473684211,2295,28,29.11,12.7273171811
../images/mask_set/2high_exsertion_low_seed_set/115.tif,2high_exsertion_low_seed_set,0.3333333333,63,21,0.6631578947,0.2210526316,3097,26,37.3,25.1722300723
../images/mask_set/2high_exsertion_low_seed_set/61.tif,2high_exsertion_low_seed_set,0.359223301,103,37,1.0842105263,0.3894736842,8253,32,32.4,18.7058083658
../images/mask_set/2high_exsertion_low_seed_set/18.tif,2high_exsertion_low_seed_set,0.3085106383,94,29,0.9894736842,0.3052631579,6015,25,33.3,24.4900962271
../images/mask_set/2high_exsertion_low_seed_set/34.tif,2high_exsertion_low_seed_set,0.1978021978,91,18,0.9578947368,0.1894736842,3759,25,29.52,18.8039646566
../images/mask_set/2high_exsertion_low_seed_set/41.tif,2high_exsertion_low_seed_set,0.3365384615,104,35,1.0947368421,0.3684210526,7539,33,31.53,16.5405566554
../images/mask_set/2high_exsertion_low_seed_set/99.tif,2high_exsertion_low_seed_set,0.3372093023,86,29,0.9052631579,0.3052631579,4698,31,43.62,26.1097291115
../images/mask_set/2high_exsertion_low_seed_set/19.tif,2high_exsertion_low_seed_set,0.2380952381,84,20,0.8842105263,0.2105263158,3771,26,33.9,26.5938474752
../images/mask_set/2high_exsertion_low_seed_set/47.tif,2high_exsertion_low_seed_set,0.2380952381,105,25,1.1052631579,0.2631578947,5694,27,35.2,24.5153736822
../images/mask_set/2high_exsertion_low_seed_set/63.tif,2high_exsertion_low_seed_set,0.3303571429,112,37,1.1789473684,0.3894736842,8400,31,42.6,25.1300100592
../images/mask_set/2high_exsertion_low_seed_set/132.tif,2high_exsertion_low_seed_set,0.4022988506,87,35,0.9157894737,0.3684210526,5844,28,34.72,25.370170639
../images/mask_set/2high_exsertion_low_seed_set/93.tif,2high_exsertion_low_seed_set,0.4183673469,98,41,1.0315789474,0.4315789474,8043,28,29.17,13.9347412595
../images/mask_set/2high_exsertion_low_seed_set/127.tif,2high_exsertion_low_seed_set,0.3258426966,89,29,0.9368421053,0.3052631579,6102,28,43.28,27.8565918293
../images/mask_set/2high_exsertion_low_seed_set/36.tif,2high_exsertion_low_seed_set,0.4411764706,102,45,1.0736842105,0.4736842105,8844,27,30.56,21.4597641192
../images/mask_set/2high_exsertion_low_seed_set/60.tif,2high_exsertion_low_seed_set,0.2990654206,107,32,1.1263157895,0.3368421053,8139,28,31.72,20.046232684
