img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/110.tif,2high_exsertion_low_seed_set,0.2580645161,93,24,4770,0.9789473684,0.2526315789,30,45.53,-1.4644028341,-9926.599730306,26.8701802954
../images/mask_set/2high_exsertion_low_seed_set/116.tif,2high_exsertion_low_seed_set,0.2923076923,65,19,2793,0.6842105263,0.2,28,41.53,-1.3391943355,-10944.2953753094,24.7874212821
../images/mask_set/2high_exsertion_low_seed_set/95.tif,2high_exsertion_low_seed_set,0.1971830986,71,14,2295,0.7473684211,0.1473684211,28,29.11,20.5279098278,-3377.0719862306,12.7273171811
../images/mask_set/2high_exsertion_low_seed_set/115.tif,2high_exsertion_low_seed_set,0.3333333333,63,21,3097,0.6631578947,0.2210526316,26,37.3,-0.8244793927,-7614.5238064238,25.1722300723
../images/mask_set/2high_exsertion_low_seed_set/61.tif,2high_exsertion_low_seed_set,0.359223301,103,37,8253,1.0842105263,0.3894736842,32,32.4,5.3513015821,-1670.9178557635,18.7058083658
../images/mask_set/2high_exsertion_low_seed_set/18.tif,2high_exsertion_low_seed_set,0.3085106383,94,29,6015,0.9894736842,0.3052631579,25,33.3,0.6108337608,-2843.0268070994,24.4900962271
../images/mask_set/2high_exsertion_low_seed_set/34.tif,2high_exsertion_low_seed_set,0.1978021978,91,18,3759,0.9578947368,0.1894736842,25,29.52,6.2292362726,-2490.7094487724,18.8039646566
../images/mask_set/2high_exsertion_low_seed_set/41.tif,2high_exsertion_low_seed_set,0.3365384615,104,35,7539,1.0947368421,0.3684210526,33,31.53,7.650322549,-1555.1897367825,16.5405566554
../images/mask_set/2high_exsertion_low_seed_set/99.tif,2high_exsertion_low_seed_set,0.3372093023,86,29,4698,0.9052631579,0.3052631579,31,43.62,-1.1218516311,-8715.3922289311,26.1097291115
../images/mask_set/2high_exsertion_low_seed_set/19.tif,2high_exsertion_low_seed_set,0.2380952381,84,20,3771,0.8842105263,0.2105263158,26,33.9,-0.0973001799,-5195.6098251174,26.5938474752
../images/mask_set/2high_exsertion_low_seed_set/47.tif,2high_exsertion_low_seed_set,0.2380952381,105,25,5694,1.1052631579,0.2631578947,27,35.2,0.5382313685,-3698.5840062111,24.5153736822
